Unnamed: 0,Unnamed: 1,Unnamed: 2,CONFIDENTIAL & PROPRIETARY,NOT FOR DISTRIBUTION,Unnamed: 5,Unnamed: 6,Unnamed: 7
,,,,,,,
,,,Updated,2025-06-19 00:00:00,,,
,,,,,,,
,,,Agents/Agentic Flows,Use case description,Domain,Customer(s),Link
,,,"Requirement, Estimation, Planning ","An SDLC agentic solution uses Agentic AIto streamline the early phases of software development: Requirement Gathering, Effort Estimation, and Project Planning. These agents collaborate with stakeholders, analyze data, and generate actionable insights to accelerate and improve decision-making",SDLC,"BMI, MARS",
,,,Agentic Procurement and Negotiation,"The Procurement agent workflow works on assistenting in procurement of materials in a supply chain, this agentic workflow aims at analysing the various suppliers and their performance, quality of produce, commercials to provide the reccomended negotiation strategy and also drafting the contract for the engagement",Procurement,,
,,,HR Training and Certification Agentic System,"This agentic flow prepares the personalised training plan for each individual by looking at various information like employee skills, employee time availability, employee location etc and shared the detailed report to HR and employees over email",HR,Sandvik,
,,,HR Recruitment Agentic system,"The Recruitment agentic workflow aims at assisting a recruiter in their E2E journey, from creating Job descriptions, posting on Job boards, Resume scoring, panel selection and scheduling interviews. The workflow is dynamically upskilledfor resume parsing based on any job profile intended to be created",HR,Sandvik,
,,,Workday Flow Tester,"As new workflows are created, generate automated test cases",Testing,Yes,
,,,Policy Comparison,"A claim comparison agentic solution uses Agentic AI to automate and optimize the process of comparing insurance claims. This is especially valuable in industries like insurance, where accuracy, speed, and compliance are critical. Benefts of this is Dynamic Decision-Making, Enhanced Accuracy and Speed, Compliance and Transparency",Healthcare,Medica,
,,,Claim reimbursement report,"A claim reimbursement agentic solution uses Agentic AI to automate, compare, and process reimbursement claims in industries like healthcare and insurance. These agents mimic human decision-making and continuously learn from data and feedback.",Healthcare,Medica,
,,,Demand Forcasting,"A demand forecasting agentic solution leverages Agentic AI to predict future demand, determine optimal stock levels, and conduct supplier analysis by evaluating forecast trends, historical data, and business rules",Demand Forcast (SCM),Mars,
,,,Legal for Corporate,Customer Legal agent for state filing research,Legal,,
,,,Document Validation Agents,Two step process (2 separate multi agent workflows) to validate a Financial report against a Copy Editing SOP,cross functional,KPMG (Demo only),
,,,,Rule Extraction Multi-Agent workflow: An Agentic workflow that extracts rules from the SOP and prepares a plan to implement them​,,,
,,,,Rule Checker Multi-Agent workflow: An Agentic workflow that implements the rules and evaluated them against the provided documents​,,,
,,,,Human-In-Loop: Ability to guide and nudge the agent operation and / or workflow towards business requirements,,,
,,,,Key Features -,,,
,,,,- Export workflow as an endpoint,,,
,,,,- Call an external API (simulated a Bot Trigger Agent),,,
,,,,- Used Research Agent to create a SOP document,,,
,,,Travel Planner,Travel planning based on realtime data for flight and hotel booking. The Agentic workflow used a research agent to get latest information. ,cross functional,KPMG (Demo only),
,,,SOP based Document verification (Deep researcher),"AI-powered Deep Research Agent generates SOP for editing Healthcare Providers’ investor reports, ensuring linguistic accuracy, consistency, and regulatory compliance.",cross functional,KPMG (Demo only),
,,,SAP Functional Test Case Generator,"An SAP Functional Test Case Generator using agentic AI is a solution that automates the creation, execution, and optimization of test cases for SAP systems",ERP,,
,,,Deep Research Agent,Deep reseach agent is plug and play agent able to do detailed research with reasining and negotiation on any topic given. It has to ability to go over websites and get the relevant information for its research.,cross functional,,
,,,Data Agent,This agent is another plau and play agent which provide information from various tables with a data base or from multiple data bases,cross functional,,
,,,KnowNow - Knowledge Management,Chat with private data,Sales experience,Sogeti,
,,,Intent Classifier agent,Determine and classify incoming request,Sales experience,Sogeti,
,,,File validity check agent,Intelligently validate correctness of incoming file,Sales experience,Sogeti,
,,,Problem statement comprehension agent,Research and articulate a complex problem,Sales experience,Sogeti,
,,,CV Maker agent,Create a customized CV,Sales experience,Sogeti,
,,,RFP Summariser agent,Summarize and format an RFP into a standardized template,Sales experience,Sogeti,
,,,RFP Questionnaire,Create a customized RFP questionnaire,Sales experience,Sogeti,
,,,Proposal validator agent,Validate an RFP response,Sales experience,Sogeti,
,,,Proposal maker agent,Create a full proposal,Sales experience,Sogeti,
,,,Chunk summariser agent,summarises individual chunks of uploaded document to handle larger files,Sales experience,Sogeti,
,,,Research agent,performs research to ground responses,Sales experience,Sogeti,
,,,Word file generator agent,creates the final proposal word document,Sales experience,Sogeti,
,,,Identify illegal substances sold online,"Livsmedelsverket, food and drug administration, building fully productionized on open shift on prem. 15-30 min instead of 45-years of work before.",Government,Livsmedelsverket,
,,,Agents Escalation Workflow,Customer service escalation system with AI agent handling returns/exchanges/refunds and human approval workflow for complex cases,Customer Service / E-commerce,Jump Start,
,,,AI Customer Support Agents,"Multi-agent telecommunications customer support system with specialized agents for sales, technical support, billing, and activation",Telecommunications,Jump Start,
,,,AIDA - AI Insights Data Analysis Assistant,AI-powered data analysis and visualization platform with multiple specialized agents for comprehensive data insights,Data Analytics & Business Intelligence,Jump Start,
,,,Autonomous Data Labeling Agent Framework (Adala),Framework for creating autonomous data processing agents that learn and improve skills iteratively through environment feedback,Data Labeling & Annotation,Jump Start,
,,,Open Data QnA - Text-to-SQL Workflow,Text-to-SQL and data interaction system that processes natural language questions to retrieve data from SQL databases,Data Analytics & Business Intelligence,Jump Start,
,,,Vanna - AI-Powered SQL Generation,RAG framework for generating SQL queries from natural language with training on database schema and documentation,Text-to-SQL & Business Intelligence,Jump Start,
,,,MedAuth - Automated Prior Authorization,AI system for automating prior authorization decisions in healthcare with comprehensive evaluation pipeline,Healthcare / Health Insurance,Jump Start,
,,,Potpie AI Agent Platform,Developer platform that builds knowledge graphs from code repositories and deploys specialized AI agents for software development tasks,Software Development / Developer Tools,Jump Start,
,,,Creative Writer Agent,Content creation system for outdoor retailer with multiple agents collaborating to create blog articles with product integration,Retail / Content Marketing,Jump Start,
,,,Diagram Generator Tool,Next.js application that converts natural language descriptions into Mermaid diagram syntax using AI,Diagramming & Visualization Tools,Jump Start,
,,,RedTeaming Framework,"Automated red teaming system for AI agents to identify vulnerabilities, biases, and potential misuses",AI Safety & Security,Jump Start,
,,,Agentic Tracing Framework,Comprehensive observability framework for AI agent systems with deep monitoring and analysis capabilities,AI/LLM Observability & Monitoring,Jump Start,
,,,Synthetic Data Generation Framework,Framework for generating synthetic data including Q&A pairs and examples using various LLM providers,Synthetic Data Generation,Jump Start,
,,,PR-Agent,AI-powered tool for automating pull request review and management with multiple specialized tools,Software Development / DevOps,Jump Start,
,,,SWE-agent,AI system for automating software engineering tasks like bug fixing and feature implementation,Software Engineering / Automated Program Repair,Jump Start,
,,,VisionAgent,AI system for solving computer vision tasks by generating Python code with planning and coding agents,Computer Vision / AI-assisted Development,Jump Start,
,,,Enterprise RAG Agentic Orchestrator,Sophisticated RAG system with multiple agent strategies for different query types and data sources,Enterprise Knowledge Management,Jump Start,
,,,AI Document Review Assistant,Document compliance and quality assurance system with specialized review agents for different aspects,Document Compliance & Quality Assurance,Jump Start,
,,,AI Documentation Generation & Azure DevOps Deployment,Multi-stage documentation creation system with Azure DevOps integration for project management,Software Development / Project Management,Jump Start,
,,,Am I Covered?,Agent assist for contact centers for proactive knowledge attainment on policy holders based on their current and questions to be used alongside live contact center agents,Healthcare,Jump Start,
,,,AI Detective,"Scours the internet to find HOA Board members for a particular property, get any public facing contact information, and put into CRM",Property Management,Jump Start,
,,,Compliant Solutions Alert Agent,"Find publicly available laws, bills, or topics pertaining to financial or banking institutions, integrate into their customer alert CMS for review by internal teams before sending alerts to credit union clients",Financial Services,Jump Start,
,,,Product Owner Agent,"Ingests and prioritizes initiatives, requirements and curates business priorities",SDLC,Amplifier,
,,,Business Analyst Agent,"Ingests and documents business requirements, transforms into traceable user stories",SDLC,Amplifier,
,,,Quality Assurance Strategist,"Creates test strategies for platforms, apps and systems using requiremens from BA agent and other stakeholders",SDLC,Amplifier,
,,,Deployment Engineer,"Creates, executes, monitors and improves pipelines",SDLC,Amplifier,
,,,Quality Engineer,"Creates, executes, documents and audits tests",SDLC,Amplifier,
,,,Traceability Analyst,Assures traceability of requirements to tests,SDLC,Amplifier,
,,,FinOps Agent,"Cost and usage reporting, handle cost centers, project tagging, forecasting, wasted cost recommended (WAF, failed jobs), etc.",SDLC,Custom,John Dragunas
,,,SRE Agent,"Monitor data pipelines for errors, retrieve Cloudwatch, etc. logs, generate recommendations on root-cause analysis and auto-remediation, etc.",SDLC,Custom,John Dragunas
,,,Data Quality Agent,"Monitor data movement jobs between data lake zones to ensure integrity, automatically reconcile workloads in multiple environments",SDLC,Custom,John Dragunas
